Local Authority Name,Total Population (SAPE 2010),"Best-fit Working Age Population** (men 16-64, women 16-60 SAPE 2010)",Overall SIMD 2012 Score,Income domain 2012 rate (%),Number of Income Deprived People 2012,Employment domain 2012 rate (%),Number of Employment Deprived People 2012,Health domain 2012 score,"Education, Skills and Training domain 2012 score","Housing domain score 2004, 2006, 2009 & 2012",Geographic Access domain 2012 score,SIMD Crime 2012 score,"Standardised mortality ratio (ISD, 2007-2010)","Comparative illness factor: standardised ratio (DWP, 2011)2","Hospital stays related to alcohol misuse: standardised ratio
(ISD, 2007-2010)","Hospital stays related to drug misuse: standardised ratio 
(ISD, 2007-2010)","Emergency stays in hospital: standardised ratio 
(ISD, 2007-2010)","Estimated proportion of population being prescribed drugs for anxiety, depression or psychosis 
(ISD, 2010)","Proportion of live singleton births of low birth weight
(ISD, 2006-2009)",Working age people with no qualifications (2001)2,"People aged 16-19 not in full time education, employment or training rate 
(School Leavers 2009/10-2010-11, DWP 2010 and 2011)","Proportion of 17- 21 year olds entering higher education 
(HESA 2008/09-2010/11)3","Pupil Performance on SQA at Stage 4 (SQA, 2008/09-2010/11)5","School Pupil Absences 
(Scottish Government, 2009/10-2010/11)4,5"
Aberdeen City,217120,146068,15.91247026,9.021462786,19605,9.006213154,12930,-0.01771876,-0.186580387,19.8975818,13.47441547,527.0085483,96.10019805,75.43008475,131.5310427,191.4178703,102.3543939,0.091545136,0.059755665,82.70507968,6.896827215,9.43656904,171.0916544,6.635724945
Aberdeenshire,245780,152432,11.357694,6.74072748,16645,6.561526568,9800,-0.651272733,-0.400064973,11.25307172,35.88230677,238.8875132,82.72176337,63.00516722,52.87665799,55.62218244,76.21491578,0.08211494,0.045839613,82.94245585,4.960113847,10.11866759,188.0884002,5.600759622
Angus,110570,65149,16.15582613,11.13445781,12290,10.57645835,6930,-0.312891599,-0.181248994,13.06417141,27.58057769,300.0254138,91.13696301,86.92149769,46.74241657,54.88689518,87.4642308,0.102133219,0.050341413,91.82047463,8.518580989,9.079286244,178.4561454,5.76806367
Argyll & Bute,89200,52493,18.08858895,10.77182735,9570,10.74887892,5620,-0.155006092,-0.263144608,17.88810422,40.89683105,344.3682063,93.02109865,83.07404709,119.4596525,49.51700673,92.49360987,0.096385538,0.053853363,85.17223307,7.745797365,8.974184978,185.8024552,5.952903587
City of Edinburgh,486120,334095,15.63641691,10.43064675,50700,9.596064758,31815,-0.452706035,-0.310426115,27.12979051,11.29534289,441.3571176,89.04888093,83.40478688,89.67881387,93.4273307,82.2717868,0.084576977,0.054712273,72.49702144,7.921700885,9.82377018,183.0198038,6.837925821
Clackmannanshire,50630,31646,23.43885456,15.61747976,7915,15.70556982,4950,-0.111064246,0.057339557,13.29230925,19.64799378,463.1943512,102.1794588,109.56508,67.89413391,64.07556785,91.29759036,0.112365594,0.058184673,114.4799212,12.30724867,7.923941734,191.6571795,6.338483113
Comhairle Nan Eilean Siar,26190,15329,20.0580287,12.60966018,3305,10.60561283,1640,0.125594213,-0.249619809,14.77848137,60.91788066,240.3001527,105.0099275,90.48243604,149.0823215,28.21985491,100.2204276,0.103806033,0.038518137,104.1687102,5.469138984,11.09894234,185.1068729,5.964662085
Dumfries and Galloway,148190,86055,18.50963522,12.47299413,18515,11.59782711,9980,-0.235748573,-0.138019034,13.88563984,33.25446357,312.3951279,92.5244146,99.98781969,68.42215399,92.09798907,87.239834,0.102918011,0.044116944,113.0248663,8.564306802,7.842011539,193.890384,5.683851812
Dundee,144290,91285,27.95070406,17.81389563,25690,17.30582161,15465,0.29480911,0.24704826,32.60953252,10.83556012,574.5477788,100.9951695,122.4206459,94.91946774,125.2286298,109.8375494,0.131186569,0.068385127,105.935681,12.12915873,8.889026336,158.4920715,7.747771155
East Ayrshire,120240,74528,26.88324621,16.67771956,20060,15.85467399,11710,0.407371248,0.295595264,14.30834271,24.1749548,457.0143214,103.6790752,111.3344561,129.6737275,199.4350715,119.0619677,0.105298486,0.059632901,124.9472346,11.41798668,5.947350383,169.4156354,7.01928809
